id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria,data_scrapped
0,Casa,Venda,São Luís/MA,Parque Amazonas,4,1,0,350000,Pereira Feitosa,23/06/2019
1,Casa,Venda,São Luís/MA,Vinhais,4,2,2,450000,Pereira Feitosa,23/06/2019
2,Apartamento,Venda,São Luís/MA,Jardim Renascença,4,0,3,850000,Pereira Feitosa,23/06/2019
3,Apartamento,Venda,São Luís/MA,Turu,0,0,1,260000,Pereira Feitosa,23/06/2019
4,Apartamento,Venda,São Luís/MA,Calhau,2,1,0,300000,Pereira Feitosa,23/06/2019
5,Casa,Venda,São Luís/MA,Cidade Operária,3,2,20,280000,Pereira Feitosa,23/06/2019
6,Apartamento,Venda,São Luís/MA,Filipinho,2,0,0,90000,Pereira Feitosa,23/06/2019
7,Apartamento,Venda,São Luís/MA,Renascença,3,3,2,4000,Pereira Feitosa,23/06/2019
8,Casa,Venda,São Luís/MA,São Francisco,3,2,4,350000,Pereira Feitosa,23/06/2019
9,Apartamento,Venda,São Luís/MA,Calhau,3,3,3,1200000,Pereira Feitosa,23/06/2019
10,Apartamento,Venda,São Luís/MA,Calhau,0,0,1,270000,Pereira Feitosa,23/06/2019
11,Casa,Venda,São Luís/MA,COHAB Anil IV,3,1,2,160000,Pereira Feitosa,23/06/2019
12,Apartamento,Venda,São Luís/MA,Areinha,2,0,1,210000,Pereira Feitosa,23/06/2019
13,Casa,Venda,São Luís/MA,Parque Timbiras,2,1,2,300000,Pereira Feitosa,23/06/2019
14,Apartamento,Venda,São Luís/MA,Cohama,2,0,1,150000,Pereira Feitosa,23/06/2019
15,Casa,Venda,São Luís/MA,Turu,2,1,4,560000,Pereira Feitosa,23/06/2019
16,Casa,Venda,São Luís/MA,Quintas do Calhau,3,3,2,1600000,Pereira Feitosa,23/06/2019
17,Apartamento,Venda,São Luís/MA,Calhau,3,3,3,900000,Pereira Feitosa,23/06/2019
18,Apartamento,Venda,São Luís/MA,Calhau,3,3,0,950000,Pereira Feitosa,23/06/2019
